num_expediente,hora,cod_distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,x_utm,y_utm,mes,dia
2020S019534,4:30:00,13.0,colisión fronto-lateral,despejado,turismo,conductor,adulto,mujer,sin asistencia,444976.463,4470508.259,1,4
2020S019534,4:30:00,13.0,colisión fronto-lateral,despejado,turismo,conductor,adulto,hombre,leve,444976.463,4470508.259,1,4
2020S019534,4:30:00,13.0,colisión fronto-lateral,despejado,turismo,conductor,joven,hombre,sin asistencia,444976.463,4470508.259,1,4
2020S019534,4:30:00,13.0,colisión fronto-lateral,despejado,turismo,pasajero,niños,hombre,sin asistencia,444976.463,4470508.259,1,4
2020S019534,4:30:00,13.0,colisión fronto-lateral,despejado,turismo,pasajero,adulto,mujer,sin asistencia,444976.463,4470508.259,1,4
2021S000001,0:50:00,12.0,colisión fronto-lateral,despejado,turismo,conductor,adulto,mujer,leve,438932.768,4469499.175,1,4
2021S000001,0:50:00,12.0,colisión fronto-lateral,despejado,turismo,conductor,adulto,hombre,sin asistencia,438932.768,4469499.175,1,4
2021S000001,0:50:00,12.0,colisión fronto-lateral,despejado,turismo,pasajero,adolescente,hombre,leve,438932.768,4469499.175,1,4
2021S000001,0:50:00,12.0,colisión fronto-lateral,despejado,turismo,pasajero,adulto,hombre,sin asistencia,438932.768,4469499.175,1,4
2021S000001,0:50:00,12.0,colisión fronto-lateral,despejado,turismo,pasajero,niños,hombre,leve,438932.768,4469499.175,1,4
2021S000003,0:30:00,14.0,colisión frontal,lluvia débil,turismo,conductor,adulto,hombre,leve,444753.821,4473923.981,1,4
2021S000003,0:30:00,14.0,colisión frontal,lluvia débil,turismo,conductor,adulto,mujer,leve,444753.821,4473923.981,1,4
2021S000004,1:30:00,4.0,atropello a persona,nublado,turismo,conductor,adulto,hombre,sin asistencia,441477.643,4475364.891,1,4
2021S000004,1:30:00,4.0,atropello a persona,nublado,turismo,peatón,joven,hombre,sin asistencia,441477.643,4475364.891,1,4
2021S000005,1:15:00,13.0,colisión fronto-lateral,nublado,turismo,conductor,joven,hombre,leve,444764.279,4470523.153,1,4
2021S000005,1:15:00,13.0,colisión fronto-lateral,nublado,turismo,conductor,adulto,mujer,sin asistencia,444764.279,4470523.153,1,4
2021S000006,1:35:00,20.0,colisión fronto-lateral,nublado,turismo,conductor,adulto,hombre,sin asistencia,446546.575,4476147.465,1,4
2021S000010,8:20:00,6.0,choque contra obstáculo fijo,despejado,turismo,conductor,joven,hombre,sin asistencia,441115.719,4478978.052,1,4
